tas	"	Year"	 Month	 Country	 ISO3	 ISO2
20.7151	1965	12	ETH		
21.2923	1966	1	ETH		
22.2481	1966	2	ETH		
23.2642	1966	3	ETH		
23.4314	1966	4	ETH		
23.9288	1966	5	ETH		
23.0686	1966	6	ETH		
22.6044	1966	7	ETH		
22.3213	1966	8	ETH		
22.5314	1966	9	ETH		
22.1677	1966	10	ETH		
21.0117	1966	11	ETH		
20.5543	1966	12	ETH		
20.8714	1967	1	ETH		
22.5766	1967	2	ETH		
23.3502	1967	3	ETH		
23.3675	1967	4	ETH		
23.1743	1967	5	ETH		
23.0488	1967	6	ETH		
21.6692	1967	7	ETH		
21.536	1967	8	ETH		
22.0771	1967	9	ETH		
21.4467	1967	10	ETH		
20.5011	1967	11	ETH		
19.8967	1967	12	ETH		
20.4138	1968	1	ETH		
20.8846	1968	2	ETH		
22.7305	1968	3	ETH		
22.7575	1968	4	ETH		
23.223	1968	5	ETH		
22.6886	1968	6	ETH		
21.9004	1968	7	ETH		
21.9722	1968	8	ETH		
22.5543	1968	9	ETH		
22.1244	1968	10	ETH		
21.123	1968	11	ETH		
20.9422	1968	12	ETH		
21.4947	1969	1	ETH		
21.6852	1969	2	ETH		
23.5151	1969	3	ETH		
24.3471	1969	4	ETH		
23.8782	1969	5	ETH		
23.5571	1969	6	ETH		
22.5635	1969	7	ETH		
21.9827	1969	8	ETH		
22.7646	1969	9	ETH		
22.4509	1969	10	ETH		
22.1046	1969	11	ETH		
21.4586	1969	12	ETH		
21.5241	1970	1	ETH		
23.0947	1970	2	ETH		
23.1307	1970	3	ETH		
24.0216	1970	4	ETH		
24.396	1970	5	ETH		
23.8495	1970	6	ETH		
22.4263	1970	7	ETH		
22.0938	1970	8	ETH		
22.6216	1970	9	ETH		
22.2457	1970	10	ETH		
21.0415	1970	11	ETH		
20.5972	1970	12	ETH		
20.9488	1971	1	ETH		
22.2397	1971	2	ETH		
23.2187	1971	3	ETH		
23.8064	1971	4	ETH		
22.9879	1971	5	ETH		
22.8826	1971	6	ETH		
22.0544	1971	7	ETH		
21.8108	1971	8	ETH		
22.026	1971	9	ETH		
21.8426	1971	10	ETH		
20.8931	1971	11	ETH		
20.0085	1971	12	ETH		
21.3754	1972	1	ETH		
21.6319	1972	2	ETH		
23.372	1972	3	ETH		
23.5064	1972	4	ETH		
23.7032	1972	5	ETH		
23.115	1972	6	ETH		
22.6408	1972	7	ETH		
22.3786	1972	8	ETH		
22.7277	1972	9	ETH		
22.4489	1972	10	ETH		
21.6378	1972	11	ETH		
21.3952	1972	12	ETH		
21.8037	1973	1	ETH		
23.3992	1973	2	ETH		
24.9066	1973	3	ETH		
25.2757	1973	4	ETH		
23.9174	1973	5	ETH		
23.6835	1973	6	ETH		
22.6556	1973	7	ETH		
22.1815	1973	8	ETH		
22.4701	1973	9	ETH		
22.2288	1973	10	ETH		
21.3463	1973	11	ETH		
20.2294	1973	12	ETH		
21.3013	1974	1	ETH		
22.2234	1974	2	ETH		
22.6261	1974	3	ETH		
24.2382	1974	4	ETH		
23.2826	1974	5	ETH		
22.9992	1974	6	ETH		
22.1537	1974	7	ETH		
21.9519	1974	8	ETH		
22.0181	1974	9	ETH		
22.2145	1974	10	ETH		
20.8225	1974	11	ETH		
20.7158	1974	12	ETH		
21.1277	1975	1	ETH		
23.2442	1975	2	ETH		
24.0345	1975	3	ETH		
24.0175	1975	4	ETH		
24.0456	1975	5	ETH		
22.9392	1975	6	ETH		
22.1692	1975	7	ETH		
21.3982	1975	8	ETH		
22.1111	1975	9	ETH		
22.1795	1975	10	ETH		
21.04	1975	11	ETH		
20.5241	1975	12	ETH		
21.2375	1976	1	ETH		
22.7526	1976	2	ETH		
23.6732	1976	3	ETH		
23.7517	1976	4	ETH		
23.6299	1976	5	ETH		
23.772	1976	6	ETH		
22.1669	1976	7	ETH		
22.2061	1976	8	ETH		
23.0374	1976	9	ETH		
22.5637	1976	10	ETH		
21.7224	1976	11	ETH		
22.0303	1976	12	ETH		
21.748	1977	1	ETH		
22.6656	1977	2	ETH		
23.8473	1977	3	ETH		
24.6972	1977	4	ETH		
23.8409	1977	5	ETH		
23.5456	1977	6	ETH		
22.7654	1977	7	ETH		
22.1599	1977	8	ETH		
22.7931	1977	9	ETH		
22.0782	1977	10	ETH		
21.21	1977	11	ETH		
21.1671	1977	12	ETH		
21.5617	1978	1	ETH		
22.6434	1978	2	ETH		
23.4436	1978	3	ETH		
24.4765	1978	4	ETH		
23.9767	1978	5	ETH		
23.8013	1978	6	ETH		
